TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,PlantType,qCaretaker,qCareAssistant,PlantDate,DBH,PlotSize,PermitNotes,XCoord,YCoord,Latitude,Longitude,Location
254276,Permitted Site,Eriobotrya deflexa :: Bronze Loquat,102 Bache St,,Sidewalk: Curb side : Cutout,Tree,Private,FUF,1/30/18 0:00,3,3x3,Permit Number 778482,6007158.627,2095375.946,37.73390809,-122.4176442,"(37.7339080899914, -122.417644212443)"
254270,Permitted Site,Tristaniopsis laurina :: Swamp Myrtle,399 Melrose Ave,3,Sidewalk: Curb side : Cutout,Tree,Private,FUF,1/30/18 0:00,3,3x3,Permit Number 781229,5997471.202,2095517.431,37.73374669,-122.4511466,"(37.7337466879114, -122.451146618749)"
119263,DPW Maintained,Pinus radiata :: Monterey Pine,495X Lakeshore Dr,1,Median : Yard,Tree,DPW,,,,10x30,,,,,,
158174,Permitted Site,Tristania conferta ::,134 Miguel St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,1/30/18 0:00,3,3x3,Permit Number 781228,6004059.11,2096889.517,37.73788911,-122.428468,"(37.7378891113908, -122.428468031191)"
188702,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,1501 Evans Ave,2,:,Tree,DPW,,,17,Width 4ft,,6015994.72,2098219.317,37.74220867,-122.3872932,"(37.7422086702947, -122.387293152263)"
254275,Permitted Site,Eriobotrya deflexa :: Bronze Loquat,708 Page St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,1/30/18 0:00,3,3x3,Permit Number 781292,6003166.115,2109644.674,37.77286117,-122.4324663,"(37.7728611677821, -122.432466329003)"
188697,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,1301 Evans Ave,13,:,Tree,DPW,,,15,Width 3ft,,6017236.813,2097292.984,37.73973386,-122.3829339,"(37.7397338556296, -122.38293388291)"
254271,Property Tree,Pinus radiata :: Monterey Pine,1201X Junipero Serra Blvd,1,Side Yard : Yard,Tree,PUC,,,,10x10,,5991180,2089593,37.71711747,-122.4724652,"(37.717117469349, -122.472465193375)"
254265,Permitted Site,Melaleuca quinquenervia :: Cajeput,85X Sussex St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,1/30/18 0:00,3,3x3,Permit Number 778120,,,,,
254266,Permitted Site,Melaleuca quinquenervia :: Cajeput,85X Sussex St,2,Sidewalk: Curb side : Cutout,Tree,Private,FUF,1/30/18 0:00,3,3x3,Permit Number 778120,,,,,
54528,DPW Maintained,Cordyline australis :: Dracena Palm,4650 Balboa St,1,Sidewalk: Curb side : Cutout,Tree,Private,,7/31/72 0:00,21,,Permit Number 10323,5981096.269,2110986.588,37.77526946,-122.5089068,"(37.7752694592632, -122.508906792671)"
158175,Permitted Site,Tristania conferta ::,300 Laidley St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,1/30/18 0:00,3,3x3,Permit Number 781228,6004086.998,2096830.176,37.73772775,-122.4283674,"(37.7377277523181, -122.428367379954)"
254264,DPW Maintained,Cordyline australis :: Dracena Palm,4650 Balboa St,2,Sidewalk: Curb side : Cutout,Tree,Private,,,,,,5981096.269,2110986.588,37.77526946,-122.5089068,"(37.7752694592632, -122.508906792671)"
196590,Planning Code 138.1 required,Pyrus calleryana :: Ornamental Pear,43 Lafayette St,2,:,Tree,Private,,,10,Width 3ft,Permit Number 772992,6007565.694,2109618.274,37.77303718,-122.4172458,"(37.7730371773558, -122.417245760983)"
196591,Planning Code 138.1 required,Pyrus calleryana :: Ornamental Pear,43 Lafayette St,3,:,Tree,Private,,,13,Width 3ft,Permit Number 772992,6007555.651,2109624.062,37.77305251,-122.4172809,"(37.7730525072055, -122.417280912782)"
217956,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,2215 17th Ave,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,1/30/18 0:00,3,3x3,Permit Number 781289,5990997.941,2100310.893,37.74653556,-122.473876,"(37.746535561373, -122.47387596681)"
252877,DPW Maintained,Eucalyptus Spp :: Eucalyptus,1400 Baker St,2,Front Yard : Yard,Tree,Private,,1/30/18 0:00,3,3x3,Permit Number 779185,6000422,2113928,37.7844661,-122.4422661,"(37.7844660975886, -122.442266061376)"
81268,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,2254 14th Ave,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,1/30/18 0:00,3,3x3,Permit Number 781238,5992017.761,2100096.088,37.74600478,-122.4703339,"(37.746004777226, -122.470333931585)"
254273,DPW Maintained,Tree(s) ::,355 Laguna St,3,Sidewalk: Curb side : Cutout,Tree,DPW,,,,3x3,,6005049,2110166,37.77439919,-122.4259903,"(37.7743991919417, -122.425990324694)"
254274,DPW Maintained,Tree(s) ::,355 Laguna St,4,Sidewalk: Curb side : Cutout,Tree,DPW,,,,3x3,,6005049,2110166,37.77439919,-122.4259903,"(37.7743991919417, -122.425990324694)"
251179,Planning Code 138.1 required,Podocarpus gracilor :: Fern Pine,1043 Minna St,2,Sidewalk: Property side : Cutout,Tree,Private,,,,3x3,,6007668,2109797,37.77353367,-122.4169045,"(37.7735336727503, -122.41690453761)"
251178,Planning Code 138.1 required,Podocarpus gracilor :: Fern Pine,1043 Minna St,1,Sidewalk: Property side : Cutout,Tree,Private,,,,3x3,,6007668,2109797,37.77353367,-122.4169045,"(37.7735336727503, -122.41690453761)"
252871,DPW Maintained,Tree(s) ::,2557 Sutter St,,Front Yard : Yard,Tree,Private,,1/30/18 0:00,3,3x3,Permit Number 779185,5999847,2113975,37.78456236,-122.4442587,"(37.7845623594454, -122.444258736096)"
156498,Permitted Site,Podocarpus gracilor :: Fern Pine,414 Andover St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,1/30/18 0:00,3,3x3,Permit Number 781293,6007484.42,2096871.985,37.73803421,-122.4166238,"(37.7380342134096, -122.416623786263)"
206475,Permitted Site,Melaleuca quinquenervia :: Cajeput,399 Melrose Ave,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,1/30/18 0:00,3,3x3,Permit Number 781229,5997496.308,2095514.156,37.73373913,-122.4510596,"(37.7337391349554, -122.451059583742)"
22346,DPW Maintained,Lophostemon confertus :: Brisbane Box,5280 03rd St,1,Sidewalk: Curb side : Cutout,Tree,DPW,,6/27/14 0:00,3,3x3,,6014341.487,2093641.862,37.72954822,-122.3926894,"(37.7295482207565, -122.392689419827)"
23567,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,2975 Van Ness Ave,1,Sidewalk: Curb side : Cutout,Tree,DPW,,5/27/92 0:00,3,3X3,,6005531.337,2120589.484,37.80304673,-122.4250636,"(37.8030467266869, -122.425063628702)"
252876,DPW Maintained,Tree(s) ::,1400 Baker St,1,Front Yard : Yard,Tree,Private,,1/30/18 0:00,3,3x3,Permit Number 779185,6000422,2113928,37.7844661,-122.4422661,"(37.7844660975886, -122.442266061376)"
177596,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,2969 Alemany Blvd,1,Sidewalk: Curb side : Cutout,Tree,DPW,,1/30/18 0:00,17,Width 2ft,,5996863.105,2087380.05,37.71136852,-122.4526619,"(37.7113685215187, -122.452661893251)"
